ID,NAME,Latitude,Longitude,StationID,Vej_temp,Luft_temp,Dewpoint
584,584,56.671350063183986,10.026998049309107,Vejtemp_584,11°,10°,10°
585,585,56.58683803135427,9.808283032258633,Vejtemp_585,11°,10°,10°
586,586,56.76224999165699,9.95549300676576,Vejtemp_586,10°,9°,9°
587,587,56.75318004936195,10.273385919000603,Vejtemp_587,11°,9°,9°
588,588,56.711525003263866,9.825048989183056,Vejtemp_588,12°,9°,9°
589,589,56.68983003375192,9.998868921302774,Vejtemp_589,11°,9°,9°
590,590,57.31809601900799,9.877549926511051,Vejtemp_590,8°,8°,8°
591,591,57.28333700734319,10.038339946637548,Vejtemp_591,7°,8°,8°
592,592,57.282635032665226,9.85803702946222,Vejtemp_592,8°,8°,8°
593,593,57.28341006588153,10.202337030755945,Vejtemp_593,7°,7°,7°
594,594,57.23084007326551,9.763948971688409,Vejtemp_594,8°,8°,8°
595,595,57.16322705282751,10.422657993960675,Vejtemp_595,7°,6°,6°
596,596,57.22971703375058,10.229328996767372,Vejtemp_596,6°,7°,7°
597,597,56.8702800126318,8.622420055435756,Vejtemp_597,10°,8°,8°
598,598,57.09516506733589,9.85543392855786,Vejtemp_598,10°,9°,9°
599,599,57.06596006840887,9.983094972173134,Vejtemp_599,10°,9°,9°
600,600,55.592346047826226,12.768874986001894,Vejtemp_600,5°,3°,3°
601,601,55.573260077040516,12.834990924941213,Vejtemp_601,7°,6°,6°
602,602,55.56530404308363,12.894743044870943,Vejtemp_602,7°,5°,5°
603,603,55.577137016400606,12.81896898906815,Vejtemp_603,8°,6°,6°
604,604,55.63329005570411,12.669684054548126,Vejtemp_604,9°,8°,8°
605,605,55.3465100150128,11.070809980437355,Vejtemp_605,13°,7°,7°
606,606,55.341953007276544,11.035643038537415,Vejtemp_606,15°,8°,8°
607,607,55.34188500652585,11.035754044271565,Vejtemp_607,14°,8°,8°
608,608,55.336266023163496,10.990722981298562,Vejtemp_608,11°,6°,6°
609,609,55.336269995009175,10.99073295677298,Vejtemp_609,11°,6°,6°
610,610,55.3322140170432,10.965632024808404,Vejtemp_610,11°,7°,7°
611,611,55.30604007652176,10.884426071760656,Vejtemp_611,12°,6°,6°
612,612,55.30216603299146,10.828884054254015,Vejtemp_612,14°,9°,9°
613,613,55.348570042945724,11.12412899821336,Vejtemp_613,11°,8°,8°
